ERROR,Woops. Something went wrong.
CONFUSED,It seems that I can't understand what you're saying. Please try another way to say it.
WELCOME, Welcome {name}! This is the bot built by Victor Garcia Rubio for the With Madrid Full Stack Developer position. Write /play to start
GUESS_A_NUMBER,Guess a number between 1 and 100 (inclusive)
DID_ROCKET_LAUNCH, {frame_number} - did the rocket launch yet?
WRONG,Wrong!
WRONG,Try again!
WRONG,Well... No!
LOWER,Try something lower
HIGHER,Try something higher
FOUND, Found! The rocket launched in frame {frame_number}
DO_YOU_WANT_AGAIN, If you want to play again just write /play !
PLAY_AGAIN,Play again
TEST,The number is {x:number}
